e_optrom_size_qla_hw_data_230 optrom_size qla_hw_data 0 230 NULL
e_ad9523_write_fndecl_233 ad9523_write fndecl 2 233 NULL
e_ocfs2_mark_extent_refcounted_fndecl_240 ocfs2_mark_extent_refcounted fndecl 6-4 240 NULL
e_musb_readw_vardecl_241 musb_readw vardecl 0 241 NULL
e_sysv_inode_by_name_fndecl_242 sysv_inode_by_name fndecl 0 242 NULL
e_offset_nvkm_vma_248 offset nvkm_vma 0 248 NULL
e_amdgpu_vm_directory_size_fndecl_249 amdgpu_vm_directory_size fndecl 0 249 NULL
e_ixgbevf_change_mtu_fndecl_251 ixgbevf_change_mtu fndecl 2 251 NULL nohasharray
e_pclk_limit_ov6650_251 pclk_limit ov6650 0 251 &e_ixgbevf_change_mtu_fndecl_251 nohasharray
e_saved_skb_len_nfc_digital_dev_251 saved_skb_len nfc_digital_dev 0 251 &e_pclk_limit_ov6650_251
e_minimum_acpi_address32_attribute_256 minimum acpi_address32_attribute 0 256 NULL
e_venus_symlink_fndecl_257 venus_symlink fndecl 6-4 257 NULL
e_l2cap_parse_conf_req_fndecl_260 l2cap_parse_conf_req fndecl 0 260 NULL
e_lf_entries_gfs2_leaf_263 lf_entries gfs2_leaf 0 263 NULL
e_max_can_queue_fc_fcp_internal_270 max_can_queue fc_fcp_internal 0 270 NULL
e_dbg_leb_change_fndecl_272 dbg_leb_change fndecl 4 272 NULL
e_tcp_current_mss_fndecl_275 tcp_current_mss fndecl 0 275 NULL
e_vmbus_sendpacket_multipagebuffer_fndecl_276 vmbus_sendpacket_multipagebuffer fndecl 4 276 NULL
e_es_lblk_extent_status_280 es_lblk extent_status 0 280 NULL
e_read_snd_midi_event_282 read snd_midi_event 0 282 NULL
e_bytesperline_sh_veu_vfmt_288 bytesperline sh_veu_vfmt 0 288 NULL nohasharray
e_vmscsi_size_delta_vardecl_storvsc_drv_c_288 vmscsi_size_delta vardecl_storvsc_drv.c 0 288 &e_bytesperline_sh_veu_vfmt_288
e_do_mmap_pgoff_fndecl_291 do_mmap_pgoff fndecl 3-0-6 291 NULL
e__alloc_cdb_cont_fndecl_298 _alloc_cdb_cont fndecl 2 298 NULL
e_xfs_qm_dqread_fndecl_302 xfs_qm_dqread fndecl 0 302 NULL nohasharray
e_num_targets_dm_table_302 num_targets dm_table 0 302 &e_xfs_qm_dqread_fndecl_302
e_MaxBufferSize_negotiate_rsp_314 MaxBufferSize negotiate_rsp 0 314 NULL nohasharray
e_ip_num_acl_subject_label_314 ip_num acl_subject_label 0 314 &e_MaxBufferSize_negotiate_rsp_314
e_do_set_pte_fndecl_318 do_set_pte fndecl 2 318 NULL nohasharray
e_name_len_jffs2_raw_xattr_318 name_len jffs2_raw_xattr 0 318 &e_do_set_pte_fndecl_318
e_bo_handle_count_drm_vc4_submit_cl_326 bo_handle_count drm_vc4_submit_cl 0 326 NULL
e_start_fb_cmap_user_333 start fb_cmap_user 0 333 NULL
e_rd_load_disk_fndecl_334 rd_load_disk fndecl 1 334 NULL nohasharray
