evdev_do_ioctl_fndecl_664_fns evdev_do_ioctl fndecl 2 664 NULL
ttm_page_pool_free_fndecl_693_fns ttm_page_pool_free fndecl 2 693 NULL
size_pstore_private_696_fns size pstore_private 0 696 NULL nohasharray
read_file_spec_scan_ctl_fndecl_696_fns read_file_spec_scan_ctl fndecl 3 696 &size_pstore_private_696_fns
dut_mode_read_fndecl_698_fns dut_mode_read fndecl 3 698 NULL
request_key_with_auxdata_fndecl_720_fns request_key_with_auxdata fndecl 4 720 NULL
xfs_buf_get_map_fndecl_729_fns xfs_buf_get_map fndecl 3 729 NULL
iwl_trans_alloc_fndecl_767_fns iwl_trans_alloc fndecl 1 767 NULL
request_key_auth_read_fndecl_830_fns request_key_auth_read fndecl 3 830 NULL
pipeline_post_proc_swi_read_fndecl_831_fns pipeline_post_proc_swi_read fndecl 3 831 NULL
_picolcd_flash_write_fndecl_853_fns _picolcd_flash_write fndecl 4 853 NULL
irnet_ctrl_write_fndecl_856_fns irnet_ctrl_write fndecl 3 856 NULL
dvb_register_media_device_fndecl_878_fns dvb_register_media_device fndecl 4 878 NULL
field_count_audit_rule_data_886_fns field_count audit_rule_data 0 886 NULL
ieee80211_if_read_dot11MeshHWMPpreqMinInterval_fndecl_899_fns ieee80211_if_read_dot11MeshHWMPpreqMinInterval fndecl 3 899 NULL
tcpprobe_sprint_fndecl_909_fns tcpprobe_sprint fndecl 0 909 NULL
max_reply_bytes_mpt3_ioctl_command_918_fns max_reply_bytes mpt3_ioctl_command 0 918 NULL
icmp_len_batadv_socket_packet_944_fns icmp_len batadv_socket_packet 0 944 NULL
pcpu_embed_first_chunk_fndecl_947_fns pcpu_embed_first_chunk fndecl 1-2-3 947 NULL nohasharray
mei_amthif_read_fndecl_947_fns mei_amthif_read fndecl 4 947 &pcpu_embed_first_chunk_fndecl_947_fns
sel_read_bool_fndecl_959_fns sel_read_bool fndecl 3 959 NULL
avc_tuner_tuneqpsk_fndecl_978_fns avc_tuner_tuneqpsk fndecl 0 978 NULL
em28xx_alloc_urbs_fndecl_983_fns em28xx_alloc_urbs fndecl 4 983 NULL
btmrvl_pscmd_read_fndecl_999_fns btmrvl_pscmd_read fndecl 3 999 NULL
ath6kl_add_bss_if_needed_fndecl_1006_fns ath6kl_add_bss_if_needed fndecl 6 1006 NULL
s_last_cno_nilfs_super_block_1016_fns s_last_cno nilfs_super_block 0 1016 NULL
offset_kmem_cache_1021_fns offset kmem_cache 0 1021 NULL
subn_get_opa_sma_fndecl_1039_fns subn_get_opa_sma fndecl 3 1039 NULL
invalid_tid_idx_hfi1_filedata_1040_fns invalid_tid_idx hfi1_filedata 0 1040 NULL
vnic_dev_get_res_count_fndecl_1044_fns vnic_dev_get_res_count fndecl 0 1044 NULL
rocker_dma_test_offset_fndecl_1055_fns rocker_dma_test_offset fndecl 3 1055 NULL
b_cnt_mon_reader_bin_1106_fns b_cnt mon_reader_bin 0 1106 NULL
cmd_sg_entries_vardecl_ib_srp_c_1108_fns cmd_sg_entries vardecl_ib_srp.c 0 1108 NULL
create_attr_set_fndecl_1118_fns create_attr_set fndecl 1 1118 NULL
mdc800_device_read_fndecl_1123_fns mdc800_device_read fndecl 3 1123 NULL
ion_handle_test_kernel_fndecl_1127_fns ion_handle_test_kernel fndecl 3-4 1127 NULL
do_kexec_load_fndecl_1129_fns do_kexec_load fndecl 2 1129 NULL
usblp_new_writeurb_fndecl_1149_fns usblp_new_writeurb fndecl 2 1149 NULL
xstateregs_set_fndecl_1159_fns xstateregs_set fndecl 4 1159 NULL
nfs4_acl_bytes_fndecl_1168_fns nfs4_acl_bytes fndecl 0 1168 NULL
vme_get_size_fndecl_1191_fns vme_get_size fndecl 0 1191 NULL
tx_frag_key_not_found_read_fndecl_1192_fns tx_frag_key_not_found_read fndecl 3 1192 NULL
adf_create_ring_fndecl_1199_fns adf_create_ring fndecl 5 1199 NULL
scsi_log_dump_sense_fndecl_1206_fns scsi_log_dump_sense fndecl 5 1206 NULL
pcpu_mem_zalloc_fndecl_1207_fns pcpu_mem_zalloc fndecl 1 1207 NULL
gtp_hashtable_new_fndecl_1236_fns gtp_hashtable_new fndecl 2 1236 NULL
remote_settings_file_write_fndecl_1240_fns remote_settings_file_write fndecl 3 1240 NULL
cifs_local_to_utf16_bytes_fndecl_1250_fns cifs_local_to_utf16_bytes fndecl 0 1250 NULL
viafb_dvp0_proc_write_fndecl_1276_fns viafb_dvp0_proc_write fndecl 3 1276 NULL
sst_fill_and_send_cmd_fndecl_1280_fns sst_fill_and_send_cmd fndecl 7 1280 NULL
agp_alloc_page_array_fndecl_1289_fns agp_alloc_page_array fndecl 1 1289 NULL
snapshot_read_fndecl_1370_fns snapshot_read fndecl 3 1370 NULL
cfs_expr_list_values_fndecl_1371_fns cfs_expr_list_values fndecl 0 1371 NULL
reiserfs_get_block_fndecl_1379_fns reiserfs_get_block fndecl 2 1379 NULL
